id,lesson_id,subject_id,type,prompt,options,answer,explanation,source,difficulty,hints,grade
q-pk-1,les-akar-2,matematika,mcq,Akar-akar persamaan kuadrat x² - 5x + 6 = 0 adalah ...,"[""x = 2 atau x = 3"",""x = -2 atau x = -3"",""x = 1 atau x = 6"",""x = -1 atau x = -6""]","[""0""]","Faktorkan menjadi (x - 2)(x - 3) = 0, sehingga pembuat nol adalah x = 2 atau x = 3.","Adaptasi BSE Matematika SMP/MTs Kelas IX, Kemdikbud",2,"[""Ubah persamaan ke bentuk faktor: (x - p)(x - q) = 0."",""Cari dua bilangan: jika dikali bernilai +6, jika dijumlah bernilai -5.""]",9
q-pk-2,les-akar-1,matematika,true_false,"Persamaan kuadrat x² = 16 memiliki dua akar berlainan, yaitu x = 4 dan x = -4.",[],"[""true""]","Benar: kedua nilai jika dikuadratkan menghasilkan 16, yaitu 4² = 16 dan (-4)² = 16.","Adaptasi BSE Matematika SMP/MTs Kelas IX, Kemdikbud",1,"[""Perhatikan operasi akar kuadrat terhadap persamaan kuadrat dapat menghasilkan nilai positif dan negatif.""]",9
q-pk-match-1,les-akar-1,matematika,matching,Pasangkan nilai diskriminan (D = b² - 4ac) dengan sifat akar persamaan kuadrat yang tepat:,"[""D > 0 | Dua akar real berlainan"",""D = 0 | Dua akar real kembar (sama)"",""D < 0 | Tidak memiliki akar real""]","[""D > 0 | Dua akar real berlainan"",""D = 0 | Dua akar real kembar (sama)"",""D < 0 | Tidak memiliki akar real""]","Diskriminan menentukan jenis akar: D > 0 memiliki dua akar berbeda, D = 0 memiliki dua akar kembar, dan D < 0 tidak memiliki akar real.","Adaptasi BSE Matematika SMP/MTs Kelas IX, Kemdikbud",2,"[""Ingat rumus ABC: x = (-b ± √D) / 2a. Sifat akar ditentukan oleh nilai di dalam tanda akar."",""Jika D bernilai negatif, akar kuadrat bilangan negatif tidak menghasilkan bilangan real.""]",9
q-pk-order-1,les-akar-2,matematika,ordering,Susun langkah-langkah memfaktorkan persamaan kuadrat x² - 5x + 6 = 0 secara berurutan:,"[""Identifikasi nilai koefisien a = 1, b = -5, dan c = 6"",""Tentukan pasangan bilangan pemfaktor 6 yang berjumlah -5 (yaitu -2 dan -3)"",""Tuliskan bentuk perkalian faktor: (x - 2)(x - 3) = 0"",""Selesaikan nilai x pembuat nol: x = 2 atau x = 3""]","[""Identifikasi nilai koefisien a = 1, b = -5, dan c = 6"",""Tentukan pasangan bilangan pemfaktor 6 yang berjumlah -5 (yaitu -2 dan -3)"",""Tuliskan bentuk perkalian faktor: (x - 2)(x - 3) = 0"",""Selesaikan nilai x pembuat nol: x = 2 atau x = 3""]","Urutan yang runtut: periksa koefisien, cari pasangan angka pembuat nol, tulis faktor, dan peroleh nilai x.","Adaptasi BSE Matematika SMP/MTs Kelas IX, Kemdikbud",2,"[""Langkah awal adalah menganalisis persamaan dan mencari nilai a, b, c."",""Langkah akhir selalu menyelesaikan nilai x yang dicari.""]",9
q-st-1,les-stat-1,matematika,numeric,"Berapa nilai median dari data berikut: 3, 5, 7, 9, 11?",[],"[""7""]","Data sudah berurutan dari kecil ke besar dengan jumlah n = 5 (ganjil). Nilai tengahnya adalah data ke-3, yaitu 7.","Format AKM Numerasi, Pusmenjar Kemdikbud - adaptasi",1,"[""Median adalah nilai yang membagi data terurut menjadi dua bagian sama banyak."",""Karena datanya ada 5, ambil angka persis di posisi tengah.""]",9
q-st-2,les-stat-1,matematika,mcq,"Modus dari kumpulan data: 2, 2, 3, 4, 4, 4, 5 adalah ...","[""2"",""3"",""4"",""5""]","[""2""]",Modus adalah nilai yang paling sering muncul. Angka 4 muncul sebanyak 3 kali (lebih sering daripada angka lain).,"Format AKM Numerasi, Pusmenjar Kemdikbud - adaptasi",1,"[""Modus berkaitan dengan frekuensi kemunculan data terbanyak.""]",9
q-eks-1,les-eks-1,bahasa-indonesia,mcq,"Bagian teks eksposisi yang memuat pengenalan isu, masalah, serta pandangan umum penulis disebut ...","[""Tesis"",""Rangkaian Argumen"",""Penegasan Ulang"",""Koda""]","[""0""]",Tesis adalah bagian pembuka yang memuat sudut pandang atau teori penulis terhadap topik yang dibahas.,"Format AKM Literasi, Pusmenjar Kemdikbud - adaptasi",2,"[""Pikirkan bagian paling awal dalam struktur teks sebelum bukti-bukti dijabarkan.""]",9
q-eks-2,les-eks-1,bahasa-indonesia,short,Sebutkan satu ciri khas informasi yang disajikan dalam teks eksposisi.,[],"[""fakta"",""objektif"",""logis"",""nyata"",""ilmiah""]",Teks eksposisi menyajikan gagasan yang didukung oleh fakta dan informasi yang bersifat objektif.,"Format AKM Literasi, Pusmenjar Kemdikbud - adaptasi",2,"[""Teks eksposisi bukan karangan fiksi atau khayalan belaka."",""Informasi yang disampaikan harus dapat dibuktikan kebenarannya.""]",9
q-eks-order-1,les-eks-1,bahasa-indonesia,ordering,Susun struktur penulisan teks eksposisi dari awal hingga akhir:,"[""Tesis (Pengenalan Isu & Pandangan Penulis)"",""Rangkaian Argumen (Fakta, Alasan, & Bukti Pendukung)"",""Penegasan Ulang (Simpulan & Rekomendasi)""]","[""Tesis (Pengenalan Isu & Pandangan Penulis)"",""Rangkaian Argumen (Fakta, Alasan, & Bukti Pendukung)"",""Penegasan Ulang (Simpulan & Rekomendasi)""]",Struktur baku teks eksposisi adalah Tesis -> Rangkaian Argumen -> Penegasan Ulang.,"Adaptasi BSE Bahasa Indonesia SMP Kelas IX, Kemdikbud",1,"[""Teks eksposisi selalu diawali dengan pengenalan isu (tesis)."",""Penutup teks biasanya menegaskan kembali argumen yang sudah dipaparkan.""]",9
q-listrik-match-1,les-listrik-2,ipa,matching,Pasangkan besaran listrik dengan satuan internasional (SI) yang tepat:,"[""Kuat Arus Listrik | Ampere (A)"",""Beda Potensial (Tegangan) | Volt (V)"",""Hambatan Listrik | Ohm (Ω)""]","[""Kuat Arus Listrik | Ampere (A)"",""Beda Potensial (Tegangan) | Volt (V)"",""Hambatan Listrik | Ohm (Ω)""]","Satuan SI: Kuat Arus adalah Ampere (A), Tegangan adalah Volt (V), dan Hambatan adalah Ohm (Ω).","Adaptasi BSE IPA Terpadu SMP Kelas IX, Kemdikbud",1,"[""Ingat Hukum Ohm: V = I × R."",""I dinyatakan dalam Ampere, V dalam Volt, dan R dalam Ohm.""]",9
q-ips-1,les-ips-1,ips,mcq,Salah satu dampak positif globalisasi di bidang ekonomi adalah ...,"[""Meningkatnya pasar internasional bagi produk lokal"",""Menyempitnya lapangan pekerjaan"",""Hilangnya identitas budaya lokal"",""Ketergantungan penuh pada produk impor""]","[""0""]",Globalisasi membuka akses perdagangan bebas dan memperluas jangkauan ekspor produk lokal ke kancah mancanegara.,"BSE Ilmu Pengetahuan Sosial SMP Kelas IX, Kemdikbud",1,"[""Pilihlah opsi yang memberikan peluang kemajuan usaha bagi masyarakat.""]",9
q-ppkn-1,les-ppkn-1,ppkn,mcq,Pancasila memiliki sifat terbuka yang artinya ...,"[""Mampu menyesuaikan diri dengan perkembangan zaman tanpa mengubah nilai dasarnya"",""Bebas diubah isinya sesuai keinginan golongan mayoritas"",""Dapat diganti kapan saja ketika ada ideologi baru"",""Hanya berlaku pada periode masa kemerdekaan""]","[""0""]","Keterbukaan ideologi Pancasila berarti nilai-nilai dasarnya tetap abadi, namun nilai instrumental dan praksisnya dinamis serta terbuka terhadap kemajuan iptek dan zaman.","BSE Pendidikan Pancasila dan Kewarganegaraan SMP Kelas IX, Kemdikbud",1,"[""Keterbukaan ideologi bukan berarti mengubah asas dasarnya, melainkan adaptif.""]",9
q-pjok-1,les-pjok-1,pjok,mcq,Kemampuan jantung dan paru-paru untuk menyuplai oksigen ke seluruh tubuh saat beraktivitas fisik dalam waktu lama disebut ...,"[""Daya tahan kardiorespirasi"",""Kelentukan otot"",""Kecepatan reaksi"",""Kekuatan maksimal""]","[""0""]",Daya tahan kardiorespirasi (kardiovaskular) adalah indikator utama kebugaran aerobik yang melibatkan kerja efisien jantung dan paru-paru.,"BSE Pendidikan Jasmani, Olahraga, dan Kesehatan SMP Kelas IX, Kemdikbud",1,"[""Kata kunci ada pada keterlibatan organ jantung (kardio) dan sistem pernapasan (respirasi).""]",9
q-prakarya-1,les-prakarya-1,prakarya-bk,mcq,Di bawah ini yang merupakan contoh bahan keras alam yang sering digunakan dalam karya kerajinan adalah ...,"[""Kayu, bambu, dan rotan"",""Plastik, kaca, dan kaleng"",""Fiberglass, lilin, dan gips"",""Busa, kain perca, dan spons""]","[""0""]","Kayu, bambu, dan rotan merupakan bahan keras yang diperoleh langsung dari sumber daya alam nabati tanpa proses kimiawi buatan pabrik.","BSE Prakarya SMP Kelas IX, Kemdikbud",1,"[""Bahan alam diperoleh langsung dari alam sekitar, bukan hasil olahan sintetis/pabrikan.""]",9
q-k8-pola-1,les-k8-pola-1,matematika,mcq,"Suku ke-6 dari barisan bilangan 2, 5, 8, 11, ... adalah ...","[""14"",""17"",""20"",""23""]","[""1""]",Barisan aritmetika dengan suku pertama a = 2 dan beda b = 3. Rumus Un = a + (n-1)b. U6 = 2 + (6-1)×3 = 2 + 15 = 17.,"Adaptasi BSE Matematika SMP Kelas VIII, Kemdikbud",1,"[""Perhatikan selisih tetap antar suku berdekatan adalah 3."",""Tambahkan beda 3 secara berturut-turut hingga suku ke-6.""]",8
q-k8-pyth-1,les-k8-pyth-1,matematika,mcq,Sebuah segitiga siku-siku memiliki panjang sisi penyiku 6 cm dan 8 cm. Panjang sisi miringnya adalah ...,"[""10 cm"",""12 cm"",""14 cm"",""16 cm""]","[""0""]","Berdasarkan teorema Pythagoras: c² = a² + b² = 6² + 8² = 36 + 64 = 100, sehingga c = √100 = 10 cm.","Adaptasi BSE Matematika SMP Kelas VIII, Kemdikbud",2,"[""Gunakan rumus kuadrat sisi miring: c = √(a² + b²)."",""Kuadratkan 6 dan 8, lalu jumlahkan hasilnya.""]",8
